 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.14823706e-11  3.32838371e-09  3.32838371e-09  3.32838371e-09  3.32838371e-09  3.32838371e-09  3.32838371e-09  3.32838371e-09  1.65467668e-07  1.31376510e-09  1.00000000e+00 
 1.83797511e-09  4.53983364e-01  3.32838373e-09  3.32838373e-09  3.32838378e-09  3.32838378e-09  3.32838373e-09  3.32838373e-09  1.65468748e-07  2.31682407e-09  1.00000000e+00 
 3.61478669e-09  3.32838373e-09  4.53983345e-01  3.32838378e-09  3.32838378e-09  3.32838373e-09  3.32838373e-09  3.32838373e-09  1.65468691e-07  3.91901267e-09  1.00000000e+00 
 5.49505330e-09  4.53984076e-01  4.53984076e-01  3.32838382e-09  3.32838382e-09  3.32838382e-09  3.32838377e-09  3.32838377e-09  1.65469714e-07  5.77870196e-09  1.00000000e+00 
 7.15328952e-09  3.32838373e-09  3.32838373e-09  4.53983384e-01  3.32838378e-09  3.32838373e-09  3.32838373e-09  3.32838373e-09  1.65468776e-07  7.42704742e-09  1.00000000e+00 
 9.03571618e-09  4.53983969e-01  3.32838376e-09  4.53983969e-01  3.32838382e-09  3.32838382e-09  3.32838376e-09  3.32838376e-09  1.65469572e-07  9.29674115e-09  1.00000000e+00 
 1.08313998e-08  3.32838376e-09  4.53983939e-01  4.53983939e-01  3.32838382e-09  3.32838382e-09  3.32838376e-09  3.32838376e-09  1.65469544e-07  1.10746896e-08  1.00000000e+00 
 1.27311068e-08  4.53984801e-01  4.53984801e-01  4.53984801e-01  3.32838381e-09  3.32838387e-09  3.32838387e-09  3.32838387e-09  1.65470709e-07  1.29534783e-08  1.00000000e+00 
 1.41502596e-08  3.32838378e-09  3.32838378e-09  3.32838378e-09  4.53983305e-01  3.32838372e-09  3.32838378e-09  3.32838378e-09  1.65468634e-07  1.43539864e-08  1.00000000e+00 
 1.60214313e-08  4.53984012e-01  3.32838382e-09  3.32838382e-09  4.53984012e-01  3.32838376e-09  3.32838382e-09  3.32838382e-09  1.65469601e-07  1.61992375e-08  1.00000000e+00 
 1.78249593e-08  3.32838382e-09  4.53984045e-01  3.32838376e-09  4.53984045e-01  3.32838376e-09  3.32838382e-09  3.32838382e-09  1.65469686e-07  1.79765038e-08  1.00000000e+00 
 1.97360350e-08  4.53984665e-01  4.53984665e-01  3.32838380e-09  4.53984665e-01  3.32838380e-09  3.32838386e-09  3.32838386e-09  1.65470539e-07  1.98580210e-08  1.00000000e+00 
 2.13807425e-08  3.32838376e-09  3.32838376e-09  4.53983974e-01  4.53983974e-01  3.32838382e-09  3.32838376e-09  3.32838376e-09  1.65469572e-07  2.14763531e-08  1.00000000e+00 
 2.32704451e-08  4.53984706e-01  3.32838383e-09  4.53984706e-01  4.53984706e-01  3.32838383e-09  3.32838383e-09  3.32838383e-09  1.65470595e-07  2.33347919e-08  1.00000000e+00 
 2.50788617e-08  3.32838386e-09  4.53984738e-01  4.53984738e-01  4.53984738e-01  3.32838380e-09  3.32838386e-09  3.32838386e-09  1.65470652e-07  2.51139909e-08  1.00000000e+00 
 2.69872089e-08  4.53985367e-01  4.53985367e-01  4.53985367e-01  4.53985367e-01  3.32838389e-09  3.32838389e-09  3.32838389e-09  1.65471505e-07  2.69889142e-08  1.00000000e+00 
 2.79287633e-08  3.32838373e-09  3.32838373e-09  3.32838378e-09  3.32838378e-09  4.53983365e-01  3.32838373e-09  3.32838373e-09  1.65468720e-07  2.79133019e-08  1.00000000e+00 
 2.97760607e-08  4.53984008e-01  3.32838376e-09  3.32838376e-09  3.32838376e-09  4.53984008e-01  3.32838376e-09  3.32838376e-09  1.65469629e-07  2.97280849e-08  1.00000000e+00 
